circuito	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	CONSENSO FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE NOS	MOVIMIENTO DE AVANZADA SOCIALISTA	FRENTE PATRIOTA	PARTIDO DIGNIDAD POPULAR	MOVIMIENTO ORGANIZACION DEMOCRATICA
0200300018A	27055	6691	1736	1316	695	276	95	109	45
0200300020A	15000	3916	1316	818	430	169	59	88	26
0200300021A	6526	1506	498	398	179	89	32	29	12
0200300022A	22494	8332	2020	1483	704	291	92	84	54
0200300022B	7775	2220	604	422	228	70	30	27	14
0200600062A	23	35	0	1	5	0	0	0	0
0200600062B	9	45	3	1	0	0	0	0	0
0200800103A	49	129	17	13	15	2	0	0	0
0201000117A	11	35	3	0	2	0	0	0	0
0201000117B	25	41	5	0	1	0	0	0	0
0201100789A	13975	4879	1406	735	501	165	53	62	24
0201100789B	7046	3326	952	480	188	93	38	20	16
0201100789C	7096	5116	1150	551	252	135	35	14	27
0201100789D	8826	2680	823	452	258	102	32	30	11
0201100789E	6714	3501	968	522	208	98	40	24	22
0201100789F	5272	3026	880	436	143	79	32	26	8
0201100790A	4535	1796	455	274	192	60	28	16	9
0201100792A	6067	2896	703	356	288	71	31	21	12
0201100792B	3992	1430	408	224	162	62	21	16	8
0201100792C	6861	2352	679	384	257	73	16	23	210
0201100792D	7278	2591	779	419	232	79	25	25	36
0201200513A	7051	3734	832	553	199	123	37	40	46
0201300125A	9	12	3	0	0	0	0	0	0
0201300131A	12	20	3	1	0	0	0	0	0
0201500153A	78	97	6	7	0	1	0	2	0
0201600155A	5155	6061	945	578	313	58	22	27	7
0201600156A	5401	4548	727	511	380	59	20	16	8
0201600156B	4018	2142	340	183	282	22	13	36	13
0201700158A	3458	619	337	219	51	28	19	16	5
0201700158B	2099	592	106	63	52	16	5	5	1
0201900164A	9	6	0	0	0	0	1	0	0
0201900165A	0	0	0	0	0	0	0	0	0
0201900165B	170	152	6	7	4	0	1	0	0
0201900166A	40	36	2	0	0	0	0	0	1
0201900167A	94	91	12	2	0	1	0	0	0
0202200731A	158	244	10	3	8	3	0	1	0
0202400230A	22	36	2	1	0	0	1	1	0
0202400231A	90	73	6	1	0	0	0	0	0
0202500232A	5	12	0	0	0	0	0	0	0
0202500236A	2	13	1	0	0	0	0	0	0
0202500237A	7	27	3	0	0	0	0	0	0
0202700248A	118	157	12	8	7	2	0	1	0
0202700248B	8	51	7	0	4	0	0	1	0
0202700248C	2286	4693	651	211	341	52	21	21	9
0202700248D	1147	2011	303	76	142	16	16	8	9
0202700248E	1553	4606	553	190	237	37	21	10	9
0202700248F	82	666	68	18	38	1	4	0	1
0202700249A	260	652	59	36	46	6	5	2	2
0202700249B	0	0	0	0	0	0	0	0	0
0202800255A	2	13	0	0	0	0	0	1	0
0202800256A	59	68	5	6	5	1	2	2	0
0202800258A	901	532	114	46	10	9	12	2	4
0202800258B	877	316	62	38	20	2	0	2	0
