circuito	AUTODETERMINACION Y LIBERTAD	CONSENSO FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	MOVIMIENTO AL SOCIALISMO	PARTIDO DIGNIDAD POPULAR	UNITE POR LA LIBERTAD Y LA DIGNIDAD
01001000001	112	417	371	3070	2865	79	10	6
01001000002	99	389	331	2741	2369	64	10	2
01001000003	10	145	33	448	2524	10	2	9
01001000005	25	181	212	3753	998	21	23	0
01001000006	54	378	153	1111	8522	33	6	0
01001000007	29	234	106	839	3653	27	5	1
01001000008	54	307	135	1218	3398	37	4	0
01001000009	54	445	194	1877	3969	57	8	0
01001000010	92	531	284	2092	4317	86	15	0
01001000011	108	556	302	2849	3494	72	8	0
01001000012	77	490	332	2752	3275	64	15	0
01001000013	119	662	422	3210	3593	83	14	0
01001000014	49	205	127	1212	1555	24	3	0
01001000015	77	377	270	2431	2082	55	8	6
01001000016	71	385	288	2284	2282	66	11	0
01001000017	118	561	390	3506	3223	117	9	0
01001000018	53	341	210	2066	1631	45	11	0
01001000019	76	468	359	3426	2632	61	21	1
01002000020	30	281	134	1319	4570	28	12	0
01002000021	35	257	111	766	6234	24	3	0
01002000022	93	658	351	2316	7421	89	8	1
01002000023	112	861	388	2884	9164	109	16	0
01002000024	65	461	227	1527	6576	67	4	0
01002000025	54	385	199	1265	6662	47	7	0
01002000026	53	523	191	1492	8889	43	4	0
01002000027	69	559	287	1976	5460	72	11	0
01002000028	135	824	486	3309	7260	103	17	3
01002000029	79	555	326	2161	4709	85	9	0
01003000030	85	616	301	2322	3770	65	9	0
01003000031	119	616	362	2590	4263	61	11	0
01003000032	125	564	348	2441	3619	93	12	0
01003000033	81	426	295	2115	2754	72	10	0
01003000034	131	707	423	3303	4327	82	11	0
01003000035	114	668	454	3483	3580	89	14	0
01003000036	72	440	324	2593	2111	65	8	0
01003000037	90	591	390	3096	3203	83	19	0
01003000038	125	585	390	3406	3641	99	15	0
01003000039	115	615	441	3445	3917	87	18	0
01003000040	84	512	309	2644	3028	80	13	8
01003000041	194	959	704	5316	5029	136	12	14
01003000042	153	819	558	4725	4929	119	22	1
01004000043	132	685	451	3432	3502	100	15	0
01004000044	75	561	380	2681	2801	78	12	9
01004000045	63	314	250	2197	1905	49	7	0
01004000046	60	329	228	2009	1693	50	11	7
01004000047	39	431	310	6508	1776	41	17	2
01004000048	106	734	425	3595	4329	103	10	0
01004000049	86	595	442	3931	3474	108	21	9
01004000050	121	747	506	3313	5231	104	11	1
01004000051	106	545	295	2463	3694	78	14	1
01004000052	69	475	374	4054	3027	86	19	7
01004000053	91	613	401	4563	3357	101	26	0
01004000054	76	755	533	4329	4431	124	25	3
01004000055	81	534	300	3098	2438	62	9	3
01004000056	75	518	283	3045	2271	55	12	0
01004000057	190	1182	647	5588	5280	146	12	2
01005000058	132	866	549	4089	4012	131	20	13
01005000059	134	805	548	3996	3780	94	18	0
01005000060	200	978	636	4566	4877	138	19	0
01005000061	173	906	487	3690	5367	137	10	0
01005000062	97	588	391	2915	3143	84	7	12
01005000063	219	1189	773	5094	6719	147	22	0
01005000064	266	1207	756	5711	7167	179	14	7
01005000065	160	751	525	3488	4583	107	12	0
01005000066	137	756	515	3419	4354	105	5	0
01005000067	283	1161	836	5272	6719	201	17	9
01006000068	272	1201	786	5218	6990	190	19	5
01006000069	307	1684	890	5937	11733	181	15	22
01006000070	357	1598	920	6358	9476	226	20	1
01006000071	359	1796	956	6867	12468	238	11	40
01006000072	201	917	548	3664	4323	127	8	0
01006000073	216	1131	699	4465	6006	159	12	9
01006000074	261	1511	719	4833	10171	208	13	18
01007000075	105	692	332	2689	3697	82	13	0
01007000076	205	1092	521	4378	5753	131	14	0
01007000077	160	850	445	3864	3838	115	15	0
01007000078	105	611	281	3131	3154	93	8	0
01007000079	124	717	438	3089	4548	77	17	0
01007000080	170	940	448	3248	4684	110	8	14
01007000081	130	790	405	2930	4559	100	9	0
01007000082	185	900	471	3791	5087	118	10	0
01007000083	192	1300	577	4128	8431	169	13	0
01007000084	112	786	371	3016	3610	83	10	0
01007000085	94	535	223	1773	2698	59	3	2
01007000086	174	1279	932	10970	5538	192	45	12
01008000087	147	1226	838	12764	5603	156	45	16
01008000088	117	1121	520	5353	5477	107	46	11
01008000089	272	2463	1401	15982	11700	251	62	35
01008000090	280	2291	1255	16019	10559	267	52	22
01009000091	46	365	233	3645	1463	35	9	11
01009000092	149	953	483	3823	3963	81	13	19
01009000093	71	551	252	2647	2396	68	7	7
01009000094	113	730	443	3803	3209	79	22	7
01009000095	154	1314	615	5546	5827	159	15	0
01009000096	101	742	346	3386	2907	71	12	10
01009000097	91	854	403	4616	3771	85	14	9
01009000098	164	1600	574	5647	6533	148	15	10
01009000099	102	885	298	2748	3831	85	13	12
01009000100	138	1010	403	3543	4811	82	18	10
01009000101	146	1139	516	4481	5733	135	21	0
01010000102	147	986	381	3137	4669	91	14	0
01010000103	137	976	396	3197	4440	94	20	0
01010000104	148	966	406	3424	4039	92	12	21
01010000105	197	1358	636	4761	6428	142	9	15
01010000106	128	887	383	3030	3791	110	9	0
01010000107	191	1363	642	5203	6483	164	20	4
01010000108	142	827	475	3308	3925	102	14	0
01010000109	224	1246	726	5019	6263	151	23	0
01010000110	116	712	332	2994	3087	105	5	5
01010000111	140	740	398	3037	3581	82	12	9
01010000112	95	551	287	2307	2586	71	12	3
01011000113	142	924	457	3376	4234	97	10	18
01011000114	229	1172	555	4504	5645	128	16	0
01011000115	139	741	445	3398	3647	96	8	14
01011000116	169	1100	610	4846	5416	137	10	16
01011000117	249	1245	633	4700	6483	142	17	13
01011000118	180	960	466	3268	5698	103	11	11
01011000119	214	1319	548	4287	6923	149	14	8
01011000120	198	1354	590	4049	7494	132	11	21
01011000121	160	1146	436	3554	5829	98	10	25
01011000122	99	745	283	2208	6225	80	8	28
01011000123	148	1048	414	3163	5514	117	11	16
01012000124	157	1063	537	4527	5584	131	13	0
01012000125	241	1525	764	5275	8050	189	15	2
01012000126	184	1245	660	4569	6484	134	20	5
01012000127	233	1508	684	4655	10524	164	7	0
01012000128	194	1340	707	4653	7403	171	20	0
01012000129	315	1496	814	5780	10246	182	18	0
01012000130	189	1010	585	3976	6776	129	10	14
01012000131	66	391	200	1286	2111	42	5	11
01012000132	178	1244	677	5079	7154	113	13	13
01012000133	178	1344	689	4505	8154	154	12	14
01013000134	76	454	237	1503	3950	60	7	5
01013000135	98	633	278	2054	5566	86	5	0
01013000136	161	773	473	2829	6268	81	8	0
01013000137	152	855	445	2753	5888	93	9	0
01013000138	225	1477	759	4512	13375	188	10	17
01013000139	122	851	433	2673	8728	125	9	0
01013000140	83	397	241	1524	3733	40	4	0
01013000141	109	654	307	2393	6844	68	5	7
01013000142	83	750	336	2106	14040	83	2	10
01013000143	130	879	436	2611	8623	96	7	2
01013000144	59	314	210	1102	4016	34	3	0
01013000145	159	791	542	3276	5958	98	12	9
01013000146	120	543	373	2786	4122	101	8	0
01013000147	176	1014	469	3071	9752	126	14	7
01014000148	120	984	433	2809	11259	109	9	0
01014000149	129	1087	429	3040	12996	112	6	0
01014000150	42	324	134	952	7543	33	4	5
01014000151	111	895	384	3034	13270	102	9	8
01014000152	111	711	395	2748	10083	94	12	15
01014000153	201	1093	664	4238	9804	164	14	22
01014000154	237	1232	803	5527	10556	164	15	17
01014000155	175	1163	729	5406	9154	184	20	14
01014000156	111	517	364	2519	3321	65	7	0
01014000157	179	836	554	4118	5561	136	12	9
01015000158	327	1124	744	5065	6476	182	25	0
01015000159	163	666	459	3442	3848	88	15	8
01015000160	367	1376	904	5808	7537	214	23	17
01015000161	320	1256	794	5553	6237	159	21	11
01015000162	137	901	676	5104	4519	136	19	9
01015000163	151	584	462	4142	3553	115	8	5
01015000164	147	543	491	3147	3385	81	7	9
01015000165	267	1123	732	5193	7006	130	7	46
01015000166	203	1005	623	4720	5422	112	12	0
01015000167	133	881	464	3296	4821	100	11	0
