min	seg	segundos	titulo	views	MoK	visualizaciones	time
12	43	763	ORIGINAL ARGENTINIAN CROISSANTS (MEDIALUNAS)	3.9	1000000	3900000	2 years ago
21	44	1304	COCINA UN DÍA PARA COMER TODA LA SEMANA ¡SALUDABLE! - #1000PREP	2.3	1000000	2300000	1 year ago
10	9	609	ARGENTINIAN BREAD PUDDING (Spanish-budín de pan)	2.2	1000000	2200000	2 years ago
9	35	575	How to make HOMEMADE SUSHI step by step - few kinds- / Paulina Cocina	1.8	1000000	1800000	3 years ago
8	10	490	Orange & Apple cake 2-2-2-2 / Easy cakes ft. Tenedor libre	1.6	1000000	1600000	2 years ago
5	46	346	PAPAS FRITAS SIN ACEITE - ¡Gran truco! (patatas fritas)	1.6	1000000	1600000	2 years ago
4	52	292	How to do Meringue step by step: 8 tricks - Paulina Cocina	1.5	1000000	1500000	3 years ago
4	3	243	How to make homemade yogurt in 2 EASY STEPS - Paulina Cocina	1.5	1000000	1500000	4 years ago
8	16	496	EASY HOMEMADE NUTELLA (Spanish)	1.4	1000000	1400000	2 years ago
15	24	924	PAN ÁRABE CON Y SIN HORNO (pan pita) / Cómo hacer pan	1.3	1000000	1300000	2 years ago
8	42	522	Como hacer postre en copa MUY FÁCIL / Recetas de postres fáciles	1.2	1000000	1200000	2 years ago
19	57	1197	6 RECETAS FÁCILES PARA GUARDAR SI VIVÍS SOLO/A - Ft. El Demente	1.1	1000000	1100000	1 year ago
4	12	252	Homemade flax bread: WITHOUT flour, gluten free and diet! A great celiac bread recipe (IN SPANISH)	1.1	1000000	1100000	4 years ago
11	10	670	5 COMIDAS CON 1 POLLO: Para congelar y tener a mano - #1000PREP	1	1000000	1000000	1 year ago
12	38	758	How to make PANCAKES and crepes with caramel: 6 Tricks you have to know - Paulina Cocina	1	1000000	1000000	3 years ago
19	57	1197	HOW TO STORE VEGETABLES SO THEY LAST LONGER - #1000PREP (Spanish)	1	1000000	1000000	6 months ago
13	7	787	CÓMO HACER GUISO DE LENTEJAS (CON CARNE)	992	1000	992000	2 years ago
