pos	nombre	categoria	club	puntos	variacion
1	Bayona, Lucas	División de Honor	La Reja	3211	-8
2	Bentancor, Martín	División de Honor	Ferrocarril Oeste	3108	0
3	Fuentes, Leandro	División de Honor	Ferrocarril Oeste	3074	81
4	Orencel Melnick, Alexis	División de Honor	Macabi	2829	46
5	Lorenzo, Santiago	División de Honor	Atlanta	2825	0
6	Titolo, Franco	División de Honor	Alvear Club	2813	22
7	Costantino, Daniel	División de Honor	River Plate	2760	6
8	Guadalupe, Matías	División de Honor	Ferrocarril Oeste	2715	46
9	Joffre, Tomás	División de Honor	Ntra. Señora Lourdes	2694	16
10	Criado, Federico	División de Honor	Fenix	2640	1
11	Sato Coria, Lautaro	División de Honor	Alvear Club	2620	97
12	Bayona, Rodrigo	División de Honor	La Reja	2615	48
13	Pighini, Matías	División de Honor	Ntra. Señora Lourdes	2578	-7
14	Acciaresi, Mariano	División de Honor	UGAB	2574	34
15	Yamamoto, Leandro	División de Honor	Alvear Club	2523	15
16	Jang, Luciano	División de Honor	Ferrocarril Oeste	2501	-2
17	Costantino, Gabriel	División de Honor	Fenix	2485	-12
18	Delgadillo, Rodrigo	División de Honor	San Lorenzo	2387	14
19	Mendez, Mariano	División de Honor	UGAB	2314	20
20	Lopez Marquez, Ezequiel	División de Honor	Fenix	2311	-11
21	Fernandez, Leoncio	División de Honor	Ferrocarril Oeste	2298	-17
22	Len, Daniel	División de Honor	Atlanta	2290	11
23	Peralta Bello, Valentino	División de Honor	Gimnasty	2289	59
24	Iwasa, Agustina	División de Honor	River Plate	2263	16
25	Gabaldon, Christopher	Primera División	Fenix	2239	-26
26	Blasco, Francisco Thomas	Primera División	La Legión TDM	2225	57
27	Mariño, Ignacio Javier	Primera División	CEDIMA	2203	0
28	Conde Meira, Matías	Primera División	La Patriada	2184	210
29	Neira, Darío	Primera División	Top Minc	2182	4
30	Duran, Ian	Primera División	Peretz	2159	145
31	Perez Altera, Ignacio	Primera División	Peretz	2156	19
32	Bruno, Nicolás	Primera División	La Legión TDM	2154	-18
33	Sotto, Tomás	Primera División	Ntra. Señora Lourdes	2144	6
34	De Simone, Mariano	Primera División	Nichia Gakuin	2142	7
35	Ramos, Mauro	Primera División	Fenix	2137	10
36	Huergo, Maximiliano Román	Primera División	Nichia Gakuin	2135	30
37	Gonzalez Dos Santos, Patricio	Primera División	Ntra. Señora Lourdes	2130	-5
38	Merkin, Alan Gabriel	Primera División	River Plate	2112	3
39	Kornschuh, Adriel	Primera División	Ferrocarril Oeste	2096	-57
40	Satriani, Genaro	Primera División	Ferrocarril Oeste	2067	134
41	Ciancio, Nicolás	Primera División	Top Minc	2064	48
42	Casal, Octavio	Primera División	Peretz	2058	-68
43	Perez, Hernán	Primera División	Peretz	2056	-25
44	Fernandez, Emanuel	Primera División	C.A.S.A. de Padua	2051	-18
45	Spinelli, Franco	Primera División	Ferrocarril Oeste	2049	-6
46	Marsaglia, Matías	Primera División	Tigre Juniors	2040	56
47	Kamimura, Emilio	Primera División	Soc. Fomento CAVA	2040	-17
48	Novizki, Pablo	Primera División	UBA Exactas	2037	52
49	Cabrera, Braian	Primera División	Fenix	2034	0
50	Marini, Santiago	Primera División	Ferrocarril Oeste	2021	-17
51	Cieza, Ivan	Primera División	UGAB	1996	149
52	Wainsztok, Darío	Primera División	Ferrocarril Oeste	1968	11
53	Tchintchinian, Mariano	Primera División	UGAB	1962	-16
54	Fernandez, Axel	Primera División	UGAB	1959	9
55	Bronstein, Leandro	Primera División	River Plate	1959	0
56	Pombo, Joaquín	Primera División	Ferrocarril Oeste	1957	-5
57	Nievas, Diego Gustavo	Primera División	CEDIMA	1944	39
58	Cisilin, Estanislao	Primera División	Inst. Compañía María	1920	31
59	Achaval, Joaquin	Primera División	Nikkei TDM	1899	23
60	Strah, Juan Pablo	Primera División	Ntra. Señora Lourdes	1892	-25
61	Valdez, Eduardo	Segunda División	Alvear Club	1891	-30
62	Valdes, Tobias D.	Segunda División	CEDIMA	1888	88
63	Azcoaga Puyó, Christian E.	Segunda División	25 de Mayo	1859	0
64	Carpio, Francisco	Segunda División	La Patriada	1857	93
65	Viotti, Lucas	Segunda División	Nikkei TDM	1845	-3
66	Lovera Arteaga, Mainor	Segunda División	La Legión TDM	1839	11
67	Kaizoji, Camila	Segunda División	Gimnasty	1817	0
68	Sanchez, Claudio	Segunda División	Ingeniero Acosta	1812	-13
69	Felscher, Jonathan	Segunda División	Ateneo de Versailles	1796	36
70	Callaba, Nicolás	Segunda División	Gimnasty	1794	64
71	Marginet Campos, Alejandro	Segunda División	La Reja	1791	58
72	Lamazon, Gustavo Gabriel	Segunda División	Soc. Fomento CAVA	1789	24
73	Darcyl, Leonardo	Segunda División	Urquiza	1779	28
74	Pighini, Pablo	Segunda División	Ntra. Señora Lourdes	1779	7
75	Buzzi, Maximiliano	Segunda División	Top Minc	1760	0
76	Frezza, Leonardo	Segunda División	TMR	1755	-41
77	Bellusci, Pablo	Segunda División	Fenix	1753	-37
78	Sato, Maximiliano	Segunda División	Rioja	1745	21
79	Mallo, Federico Oscar	Segunda División	La Legión TDM	1742	-20
80	Camagna, Diego Andrés	Segunda División	Fenix	1740	-2
81	Lovera Arteaga, Crismi Paola	Segunda División	La Legión TDM	1738	25
82	Bellusci, Nicolás	Segunda División	Fenix	1720	2
83	Puerta, Alejandro	Segunda División	Oeste TDM Catán	1709	-63
84	Mouhamed, Amir Alexander	Segunda División	River Plate	1705	158
85	Melluso, Salvador	Segunda División	Gimnasty	1695	119
86	Avian, Ignacio	Segunda División	Fenix	1688	1
87	Olmedo, Pablo	Segunda División	Ntra. Señora Lourdes	1684	21
88	Quintana, Lucas	Segunda División	Ntra. Señora Lourdes	1684	3
89	Lemos, Ulises	Segunda División	Fenix	1680	-71
90	Waitzel, Ariel	Segunda División	Inst. Compañía María	1675	-33
91	Sanabria, Oscar	Segunda División	La Reja	1672	-14
92	Peña, Franco	Segunda División	Atlanta	1669	-57
93	Deym, Federico	Segunda División	Tigre Juniors	1655	56
94	Martinez Tapia, José Manuel	Segunda División	MTMs	1651	144
95	Daventini, Lucas	Segunda División	Ntra. Señora Lourdes	1644	10
96	Samaja, Facundo	Segunda División	25 de Mayo	1642	7
97	Sculco, Nahuel	Segunda División	Alvear Club	1628	70
98	Ortega, Maximiliano	Segunda División	Cedem no 2	1607	-44
99	Bertran, Ezequiel	Segunda División	Inst. Compañía María	1606	48
100	Moscato, Alejandro	Segunda División	Alvear Club	1604	-20
