posicion	jugador	club	puntos	categoria
1	Galvano, Nicolás                   	San Lorenzo                   	3276	0
2	Bayona, Lucas                      	La Reja                       	3271	0
3	Bentancor, Martín                  	Ferrocarril Oeste             	3181	0
4	Alto, Gaston                       	Atlanta                       	3101	0
5	Cifuentes, Horacio                 	Atlanta                       	3090	0
6	Tabachnik, Pablo                   	San Lorenzo                   	3079	0
7	Fuentes, Leandro                   	Alvear Club                   	3033	0
8	Lorenzo, Santiago                  	Atlanta                       	3029	0
9	Orencel Melnick, Alexis            	Atlanta                       	3022	0
10	Guadalupe, Matías                  	Ferrocarril Oeste             	3022	0
11	Sato Coria, Lautaro                	Alvear Club                   	2946	0
12	Temperley, Diego                   	Alvear Club                   	2939	0
13	Gilabert, Rodrigo                  	San Lorenzo                   	2930	0
14	Teplitzky, Diego                   	San Lorenzo                   	2911	0
15	Cillis, Javier                     	Alvear Club                   	2908	0
16	Tenti, Fermín                      	Gimnasty                      	2874	0
17	Remon, Juan Pablo                  	River Plate                   	2853	0
18	Joffre, Tomás                      	River Plate                   	2844	0
19	Velarde, Matias                    	La Reja                       	2771	0
20	Jang, Luciano                      	Ferrocarril Oeste             	2763	0
21	Bayona, Rodrigo                    	La Reja                       	2756	0
22	Titolo, Franco                     	Alvear Club                   	2748	0
23	Costantino, Daniel                 	River Plate                   	2746	0
24	Moavro, Sebastián                  	Fenix                         	2736	0
25	Teplitzky, Ariel                   	San Lorenzo                   	2734	0
26	Saragovi, Pablo                    	River Plate                   	2723	0
27	Di Salvo, Adriel                   	Peretz                        	2683	0
28	Gibo, Nicolás                      	Alvear Club                   	2679	0
29	Acciaresi, Mariano                 	UGAB                          	2663	0
30	Pichot, Daniel                     	Ferrocarril Oeste             	2663	0
31	Pighini, Matías                    	Ntra. Señora Lourdes          	2648	0
32	Mendez, Mariano                    	UGAB                          	2641	0
33	Marini, Santiago                   	Ferrocarril Oeste             	2605	0
34	Cherny, Federico                   	CTDM Pato Nizetich            	2603	0
