pos	nombre	categoria	club	puntos	variacion	n_categoria
1	Gilabert, Rodrigo	División de Honor	River Plate	3096	0	0
2	Mendez, Mariano	División de Honor	UCA Marash Argentina	2794	9	0
3	Weiss, Alan	División de Honor	La Legión TDM	2793	-35	0
4	Yamamoto, Leandro	División de Honor	Alvear Club	2700	5	0
5	Jaimovich, Ignacio	División de Honor	Macabi	2677	-16	0
6	Marini, Joaquín	División de Honor	Ferrocarril Oeste	2653	15	0
7	Spinelli, Franco	División de Honor	Ferrocarril Oeste	2594	-17	0
8	Marini, Santiago	División de Honor	Ferrocarril Oeste	2575	-33	0
9	Blasco, Lisandro	División de Honor	Fenix	2554	19	0
10	Waldszan, Matías	División de Honor	Macabi	2459	0	0
11	Romero, Santiago	División de Honor	Ateneo de Versailles	2447	-22	0
12	Hurevich, Tobias	División de Honor	Macabi	2445	7	0
13	Delgadillo, Rodrigo	División de Honor	San Lorenzo	2404	-22	0
14	Basso, Valentin	División de Honor	Gimnasty	2402	-35	0
15	Casal, Octavio	División de Honor	Estacion Ping Pong	2397	-21	0
16	Heis, Nicolás	División de Honor	River Plate	2392	45	0
17	Rodriguez Schoeller, Santiago	División de Honor	Ateneo de Versailles	2366	-5	0
18	Riera Castillo, Simon A.	División de Honor	CEDIMA	2319	151	0
19	Sanchez, Ariel H.	División de Honor	Estacion Ping Pong	2312	34	0
20	Ramos, Mauro	División de Honor	Fenix	2285	24	0
21	Carattoli, Lucas J.	División de Honor	Ateneo de Versailles	2238	27	0
22	Lopez Marquez, Ezequiel	División de Honor	Fenix	2225	0	0
23	Marsaglia, Matías	División de Honor	Tigre TDM	2212	6	0
24	Neira, Darío	División de Honor	Spin TDM	2176	-51	0
25	Burdin, Dimitri	Primera	Ferrocarril Oeste	2108	0	1
26	Perez Altera, Ignacio	Primera	Peretz	2095	0	1
27	Menghi, Manuel	Primera	Gimnasty	2062	-37	1
28	Bronstein, Leandro	Primera	River Plate	2048	0	1
29	Bernardou, Tomas	Primera	Ateneo de Versailles	2032	86	1
30	Wainsztok, Darío	Primera	Instituto Cia. Maria	2032	3	1
31	Bentancourt, Luciano	Primera	GTM	2027	-17	1
32	Peña, Franco	Primera	Fulgor Villa Crespo	2018	-19	1
33	Zaffaroni Velazquez, Luca N.	Primera	Fenix	2010	7	1
34	Carpio, Francisco	Primera	AsociacionYabrudense	1999	18	1
35	Buzzi, Maximiliano	Primera	Estacion Ping Pong	1995	7	1
36	Cisilin, Estanislao	Primera	Instituto Cia. Maria	1970	-12	1
37	Bronstein, Facundo	Primera	River Plate	1968	-14	1
38	Tchintchinian, Mariano	Primera	UCA Marash Argentina	1956	0	1
39	Candela, Juan	Primera	Fenix	1954	0	1
40	Carranza, Mateo	Primera	GTM	1936	23	1
41	Jang, Agustín	Primera	Ferrocarril Oeste	1931	0	1
42	Schvartz, Ivan	Primera	Macabi	1922	-24	1
43	Krowicki, Nahuel	Primera	Intendente Agüero	1918	68	1
44	Smodlaka, Guido I.	Primera	Alvear Club	1918	-7	1
45	Mosteirin Clemente, Camilo	Primera	TMR	1896	50	1
46	Samaja, Facundo	Primera	River Plate	1864	0	1
47	Huici, Julián	Primera	U.V.V.A.	1861	15	1
48	Carattoli, Matias J.	Primera	Ateneo de Versailles	1855	-20	1
49	Kamimura, Emilio	Primera	CAVA	1854	1	1
50	Albanese, Juan Manuel	Primera	River Plate	1851	0	1
51	Marchese, Ignacio	Primera	Zenit	1826	4	1
52	Sassone, Marco	Primera	Alvear Club	1813	-17	1
53	Darcyl, Leonardo	Primera	Padilla	1797	28	1
54	Sarso, Luciano	Primera	CAVA	1794	8	1
55	Kosmata, Phil	Primera	River Plate	1789	0	1
56	Marginet Campos, Alejandro	Primera	GTM	1783	-5	1
57	Hurtado, Franco	Primera	San Lorenzo	1776	-13	1
58	Kenji Kamida, Diego	Primera	Alvear Club	1767	-36	1
59	Munno, Alvaro	Primera	Rioja	1751	-1	1
60	Sanchez, Martin C.	Primera	Ateneo de Versailles	1734	0	1
61	Rossi Vera, Santino	Segunda	Peretz	1701	27	2
62	Parinelli, David	Segunda	Boca Juniors	1698	59	2
63	Okuyama, Abril	Segunda	Peretz	1693	11	2
64	Nikitin, Evgeny	Segunda	Fulgor Villa Crespo	1669	6	2
65	Rizzo, Juan	Segunda	San Lorenzo	1669	-33	2
66	Dorigoni, Enzo	Segunda	Libertad	1663	-31	2
67	San Millan, Federico	Segunda	Macabi	1655	0	2
68	Azzurro, Ignacio	Segunda	Gimnasty	1652	-6	2
69	Lescano, Ramiro	Segunda	Boca Juniors	1649	-24	2
70	Fernandez Arevalo, Mariano	Segunda	Nikkei TDM	1642	-1	2
71	Sclar, Matias	Segunda	Alvear Club	1641	45	2
72	Correas Espeche, Ezequiel	Segunda	El Galpong	1638	0	2
73	Tiercin, Gonzalo	Segunda	Atlanta	1617	0	2
