pos	nombre	categoria	club	puntos	variacion
1	Bayona, Lucas	División de Honor	La Reja	3219	39
2	Bentancor, Martín	División de Honor	Ferrocarril Oeste	3108	-24
3	Fuentes, Leandro	División de Honor	Ferrocarril Oeste	2993	28
4	Orencel Melnick, Alexis	División de Honor	Macabi	2799	-11
5	Saragovi, Pablo	División de Honor	Alvear Club	2756	-16
6	Costantino, Daniel	División de Honor	River Plate	2754	49
7	Criado, Federico	División de Honor	Club Fenix	2639	39
8	Guadalupe, Matías	División de Honor	Ferrocarril Oeste	2631	38
9	Pighini, Matías	División de Honor	Ntra. Señora Lourdes	2579	5
10	Waldszan, Matías	División de Honor	Macabi	2573	6
11	Bayona, Rodrigo	División de Honor	La Reja	2567	9
12	Acciaresi, Mariano	División de Honor	UGAB	2530	-6
13	Sato Coria, Lautaro	División de Honor	Alvear Club	2523	3
14	Costantino, Gabriel	División de Honor	Club Fenix	2488	-31
15	Yamamoto, Leandro	División de Honor	Alvear Club	2484	18
16	Jang, Luciano	División de Honor	Ferrocarril Oeste	2460	54
17	Delgadillo, Rodrigo	División de Honor	San Lorenzo	2345	-15
18	Lopez Marquez, Ezequiel	División de Honor	Club Fenix	2303	5
19	Alcaraz, Gonzalo	División de Honor	C.A.S.A. de Padua	2290	1
20	Mendez, Mariano	División de Honor	UGAB	2276	20
21	Fernandez, Leoncio	División de Honor	Ferrocarril Oeste	2272	12
22	Len, Daniel	División de Honor	Atlanta	2269	12
23	Neira, Darío	División de Honor	Top Minc	2260	-1
24	Beloqui, Ramón	División de Honor	River Plate	2256	0
25	Iwasa, Agustina	Primera División	River Plate	2247	-18
26	Gabaldon, Christopher	Primera División	Club Fenix	2214	14
27	Mariño, Ignacio Javier	Primera División	CEDIMA	2203	94
28	Peralta Bello, Valentino	Primera División	Gimnasty	2178	24
29	Ramos, Mauro	Primera División	Club Fenix	2145	59
30	Blasco, Francisco Thomas	Primera División	La Legión TDM	2145	22
31	Sotto, Tomás	Primera División	Ntra. Señora Lourdes	2138	26
32	Perez Altera, Ignacio	Primera División	Peretz	2137	57
33	Gonzalez Dos Santos, Patricio	Primera División	Ntra. Señora Lourdes	2130	-14
34	Casal, Octavio	Primera División	Peretz	2119	47
35	Merkin, Alan Gabriel	Primera División	River Plate	2109	-44
36	Bruno, Nicolás	Primera División	La Legión TDM	2108	-9
37	Fernandez, Emanuel	Primera División	C.A.S.A. de Padua	2069	5
38	De Simone, Mariano	Primera División	Nichia Gakuin	2058	7
39	Kamimura, Emilio	Primera División	Soc. Fomento CAVA	2057	-24
40	Spinelli, Franco	Primera División	Ferrocarril Oeste	2054	150
41	Marini, Santiago	Primera División	Ferrocarril Oeste	2038	-23
42	Perez, Hernán	Primera División	Peretz	2028	16
43	Cabrera, Braian	Primera División	Club Fenix	2021	-4
44	Duran, Ian	Primera División	Peretz	2016	89
45	Novizki, Pablo	Primera División	UBA Exactas	1985	-69
46	Marsaglia, Matías	Primera División	Tigre Juniors	1982	-21
47	Ciancio, Nicolás	Primera División	Top Minc	1976	11
48	Conde Meira, Matías	Primera División	La Patriada	1974	31
49	Pombo, Joaquín	Primera División	Ferrocarril Oeste	1962	80
50	Tchintchinian, Mariano	Primera División	UGAB	1961	-16
51	Bronstein, Leandro	Primera División	River Plate	1959	0
52	Wainsztok, Darío	Primera División	Ferrocarril Oeste	1957	-14
53	Fernandez, Axel	Primera División	UGAB	1950	5
54	Satriani, Genaro	Primera División	Ferrocarril Oeste	1942	-4
55	Huergo, Maximiliano Román	Primera División	Nichia Gakuin	1930	0
56	Valdez, Eduardo	Primera División	Alvear Club	1921	42
57	Cisilin, Estanislao	Primera División	Inst. Compañía María	1864	48
58	Azcoaga Puyó, Christian E.	Primera División	25 de Mayo	1859	-39
59	Strah, Juan Pablo	Primera División	Ntra. Señora Lourdes	1855	89
60	Viotti, Lucas	Primera División	Nikkei TDM	1839	5
61	Achaval, Joaquin	Segunda División	Nikkei TDM	1824	6
62	Felscher, Jonathan	Segunda División	Ateneo de Versailles	1810	39
63	Morrazo, Agustín	Segunda División	Atlanta	1788	0
64	Arroyo, Hernán	Segunda División	TMR	1778	10
65	Bellusci, Pablo	Segunda División	Club Fenix	1775	0
66	Pighini, Pablo	Segunda División	Ntra. Señora Lourdes	1772	63
67	Lamazon, Gustavo Gabriel	Segunda División	Soc. Fomento CAVA	1765	-52
68	Carpio, Francisco	Segunda División	La Patriada	1764	70
69	Buzzi, Maximiliano	Segunda División	Top Minc	1760	48
70	Darcyl, Leonardo	Segunda División	Club Urquiza	1759	0
71	Lovera Arteaga, Mainor	Segunda División	La Legión TDM	1754	130
72	Lemos, Ulises	Segunda División	Club Fenix	1751	40
73	Bellusci, Nicolás	Segunda División	Club Fenix	1731	9
74	Marginet Campos, Alejandro	Segunda División	La Reja	1730	46
75	Camagna, Diego Andrés	Segunda División	Club Fenix	1729	134
76	Peña, Franco	Segunda División	Atlanta	1726	-8
77	Callaba, Nicolás	Segunda División	Gimnasty	1724	162
78	Quintana, Lucas	Segunda División	Ntra. Señora Lourdes	1711	72
79	Lovera Arteaga, Crismi Paola	Segunda División	La Legión TDM	1704	-17
80	Sato, Maximiliano	Segunda División	Club Rioja	1688	8
81	Avian, Ignacio	Segunda División	Club Fenix	1679	14
82	Iwasa, Nicolás	Segunda División	Peretz	1676	0
83	Waitzel, Ariel	Segunda División	Inst. Compañía María	1655	36
84	Sanabria, Oscar	Segunda División	La Reja	1654	-1
85	Ortega, Maximiliano	Segunda División	Cedem no 2	1651	-30
86	Mallo, Federico Oscar	Segunda División	La Legión TDM	1643	-72
87	Samaja, Facundo	Segunda División	25 de Mayo	1635	-4
88	Daventini, Lucas	Segunda División	Ntra. Señora Lourdes	1634	0
