Pos	Jugador	Club	Puntos	Categoria
1	Guadalupe, Matías                  	Ferrocarril Oeste             	2977	0
2	Sato Coria, Lautaro                	Alvear Club                   	2949	0
3	Teplitzky, Diego                   	San Lorenzo                   	2896	0
4	Remon, Juan Pablo                  	River Plate                   	2823	0
5	Jang, Luciano                      	Ferrocarril Oeste             	2816	0
6	Bayona, Rodrigo                    	Libre                         	2747	0
7	Constantino, Daniel                	River Plate                   	2675	0
8	Mendez, Mariano                    	UGAB                          	2658	0
9	Yamamoto, Leandro                  	Alvear Club                   	2620	0
10	Pighini, Matías                    	Lourdes                       	2596	0
11	Marini, Santiago                   	Ferrocarril Oeste             	2560	0
12	Criado, Federico                   	Fenix                         	2549	0
13	Baca, Emir                         	San Lorenzo                   	2521	0
14	De Francesco, Nicolás              	Fenix                         	2521	0
15	Sotto, Tomás                       	Lourdes                       	2477	0
16	Mariño, Ignacio Javier             	CEDIMA                        	2455	0
17	Waldszan, Matías                   	CTDM Pato Nizetich            	2453	0
18	Nizetich, Patricio                 	CTDM Pato Nizetich            	2439	0
19	Constantino, Gabriel               	CEDIMA                        	2426	0
20	Delgadillo, Rodrigo                	San Lorenzo                   	2407	0
21	Conde Meira, Matías                	Peretz                        	2390	0
22	Casal, Octavio                     	Rioja                         	2318	0
23	Fernandez, Leoncio                 	Ferrocarril Oeste             	2216	0
24	Bronstein, Leandro                 	River Plate                   	2205	0
25	Basso, Valentin                    	Gimnasty                      	2164	1
26	Gonzalez Dos Santos, Patricio      	Lourdes                       	2163	1
27	Tresca, Gastón                     	Fenix                         	2157	1
28	Beloqui, Ramón                     	River Plate                   	2156	1
29	Perez Altera, Ignacio              	Peretz                        	2143	1
30	Marsaglia, Matías                  	Tigre TDM                     	2132	1
31	Neira, Darío                       	Spin TDM                      	2131	1
32	Melluso, Salvador                  	Gimnasty                      	2129	1
33	Tchintchinian, Mariano             	UGAB                          	2123	1
34	Ramos, Mauro                       	Fenix                         	2065	1
35	Hurevich, Tobias                   	Ferrocarril Oeste             	2043	1
36	Romero, Santiago                   	Ateneo de Versailles          	2036	1
37	Blasco, Lisandro                   	Top Minc                      	2016	1
38	Iwasa, Agustina                    	River Plate                   	2011	1
39	Novizki, Pablo                     	Spin TDM                      	1998	1
40	Lovera Arteaga, Mainor             	La Legión TDM                 	1975	1
41	Jaimovich, Ignacio                 	Top Minc                      	1973	1
42	Viotti, Lucas                      	Nikkei TDM                    	1961	1
43	Marini, Joaquín                    	Ferrocarril Oeste             	1945	1
44	Weiss, Alan                        	Top Minc                      	1945	1
45	Olmos, Agustin                     	Ateneo de Versailles          	1937	1
46	Marginet Campos, Alejandro         	GTM                           	1928	1
47	Morrazo, Agustín                   	Alvear Club                   	1899	1
48	Cisilin, Estanislao                	Instituto Cia. Maria          	1892	1
49	Buzzi, Maximiliano                 	Top Minc                      	1890	1
50	Felscher, Jonathan                 	Social Club TDM               	1890	1
51	Nakagama, Alex R.                  	Fenix                         	1888	1
52	Valdez, Eduardo                    	Alvear Club                   	1847	1
53	Candela, Juan                      	Fenix                         	1828	1
54	Peña, Franco                       	Atlanta                       	1821	1
55	Bentancourt, Luciano               	GTM                           	1814	1
56	Ortega, Maximiliano                	CAVA                          	1804	1
57	Sato, Maximiliano                  	Rioja                         	1796	1
58	Pierini, Ariel                     	Alvear Club                   	1795	1
59	Darcyl, Leonardo                   	Padilla                       	1791	1
60	Huici, Julián                      	U.V.V.A.                      	1759	1
61	Avian, Ignacio                     	Fenix                         	1759	2
62	Bellusci, Pablo                    	Fenix                         	1737	2
63	Sculco, Nahuel                     	Alvear Club                   	1735	2
64	Strah, Juan Pablo                  	Lourdes                       	1734	2
65	Lamazon, Gustavo Gabriel           	CAVA                          	1734	2
66	Romero, Elias                      	CEDIMA                        	1732	2
67	Satriani, Genaro                   	Ferrocarril Oeste             	1731	2
68	Jang, Agustín                      	Ferrocarril Oeste             	1725	2
69	Samaja, Facundo                    	CTDM Pato Nizetich            	1725	2
70	Sanchez, Ariel H.                  	Top Minc                      	1714	2
71	Fazio, Agustín                     	UGAB                          	1693	2
72	Passera, Santiago                  	Top Minc                      	1687	2
73	Regner, Martín                     	U.V.V.A.                      	1682	2
74	Mallo, Federico Oscar              	Alvear Club                   	1677	2
75	Olmedo, Pablo                      	Lourdes                       	1654	2
76	Lovera Arteaga, Crismi Paola       	Lourdes                       	1654	2
77	Aguirre, Daniel                    	La Legión TDM                 	1653	2
78	Marchese, Ignacio                  	Zenit                         	1644	2
79	Correas Espeche, Ezequiel          	Rioja                         	1642	2
80	Buscema, Milton                    	Alvear Club                   	1639	2
81	Perez, Alejandro                   	CEDIMA                        	1637	2
82	Waitzel, Ariel                     	Instituto Cia. Maria          	1632	2
83	Almiron, Esteban                   	Ferrocarril Oeste             	1631	2
84	Burotto, Pablo                     	Vito Dumas TdM                	1608	2
85	Deym, Federico                     	Tigre TDM                     	1605	2
86	Fermanelli, Pedro                  	Lourdes                       	1602	2
87	Kaniuka, Aleksy                    	CEDIMA                        	1602	2
88	Sarso, Luciano                     	CAVA                          	1599	2
89	Gutierrez, Marcelo                 	Circulo Campano               	1592	2
90	Grimoldi, Maximiliano              	UGAB                          	1592	2
91	Rodriguez Schoeller, Santiago      	Ateneo de Versailles          	1574	2
92	Cardoso, Andres N                  	CAVA                          	1570	2
93	Uesugui, Rafael                    	CAVA                          	1566	2
94	Garcia, Román                      	Gimnasty                      	1564	2
95	Mouhamed, Amir Alexander           	River Plate                   	1563	2
96	Bertran, Ezequiel                  	Instituto Cia. Maria          	1550	2
97	Palazzo, Didier                    	Ateneo de Versailles          	1538	2
98	Carlisi, Nahuel                    	Tigre TDM                     	1534	2
99	Rotryng Alvarez, Facundo           	Macabi                        	1508	2
100	Otero Saumell, Juan                	CTDM Pato Nizetich            	1496	2
101	Camposaragna, Gian Franco          	La Legión TDM                 	1490	2
102	Joszpe, Santiago                   	Top Minc                      	1485	2
103	Cespedes, Osvaldo                  	La Legión TDM                 	1467	2
104	Camagna, Diego Andrés              	Fenix                         	1466	2
105	Smodlaka, Guido I.                 	Alvear Club                   	1452	2
106	Coria, Lautaro                     	Zenit                         	1445	2
107	Suarez, Agustin                    	Nikkei TDM                    	1426	2
108	Delgado, Gastón                    	Fenix                         	1419	2
109	Baltaian, Leandro Alfredo          	CTDM Pato Nizetich            	1417	2
110	Navarro, Sergio Fernando           	Instituto Cia. Maria          	1412	2
111	Acosta Rios, Juan Ignacio          	Top Minc                      	1408	3
112	Albanese, Juan Manuel              	Top Minc                      	1406	3
113	Gazzo, Alberto                     	Padilla                       	1400	3
114	Frasson, Gabriel                   	Libertad                      	1400	3
115	Yonamine, Ricardo                  	Nikkei TDM                    	1398	3
116	Bernasconi, Felipe                 	Zenit                         	1397	3
117	Slinin, Julio                      	UGAB                          	1391	3
118	Dorigoni, Enzo                     	Libertad                      	1384	3
119	Olmos, Alan                        	Ateneo de Versailles          	1380	3
120	Pollini, Santiago                  	Lourdes                       	1367	3
121	Ortiz, Carlos N.                   	Libertad                      	1363	3
122	Amendola, Julio                    	Def. Santos Lugares           	1362	3
123	Martinez, Federico                 	UGAB                          	1360	3
124	Rodriguez Salem, Ignacio           	Gimnasty                      	1359	3
125	Ghini, Bruno                       	Ateneo de Versailles          	1354	3
126	Mirabelli, Ariel                   	Alvear Club                   	1348	3
127	Bonanata, Ignacio                  	Lourdes                       	1312	3
128	Cohen, Claudio                     	Padilla                       	1290	3
129	Cuska, Daniel Eduardo              	Lourdes                       	1284	3
130	Sosa, Mateo                        	River Plate                   	1282	3
131	Martinez, Diego O.                 	CASA de Padua                 	1277	3
132	Lagrotteria, Lucio                 	Instituto Cia. Maria          	1271	3
133	Docampo, Alejandro                 	Lourdes                       	1265	3
134	Rosen, Franco                      	La Legión TDM                 	1264	3
135	Mendez, Iara Antonella             	Social Club TDM               	1259	3
