marca	modelo	pesos_cl	usd
YASAKA	Hasha Gold	99900	153
YASAKA	Musashi Gold	86900	133
YASAKA	Yagyu Gold	72900	112
YASAKA	Galaxya Carbon	69900	107
YASAKA	Malin hard Carbon	54900	84
YASAKA	Silver carbon	52900	81
YASAKA	Hasha Silver 	52900	81
YASAKA	Yagyu Silver	49900	76
YASAKA	X1	49900	76
YASAKA	Double Face JP	46900	72
YASAKA	Double Face TO	46900	72
YASAKA	Malin Extra Offensivo	46900	72
YASAKA	Malin Carbon	46900	72
YASAKA	Malin Soft Carbon	46900	72
YASAKA	Max Wood	44900	69
YASAKA	Mushashi Silver 	42900	66
YASAKA	Battle Balsa	42900	66
YASAKA	Sweden Def	39900	61
YASAKA	Earlast Carbon	37900	58
YASAKA	Sweden Classic	36900	56
XUSHAOFA	Carbon 2008-5	56900	87
XUSHAOFA	Carbon 2008-2	53900	82
XUSHAOFA	Carbon 2008-1	53900	82
XUSHAOFA	Carbon 2008-8	53900	82
XUSHAOFA	Carbon 2008-4	53900	82
XUSHAOFA	Carbon 2008-3	53900	82
XUSHAOFA	Wooden F-2	22000	34
XUSHAOFA	Wooden F-1	22000	34
XUSHAOFA	Wooden F-4	20000	31
XUSHAOFA	Wooden F-6	16900	26
XUSHAOFA	Wooden F-9	14900	23
XUSHAOFA	012	12900	20
XUSHAOFA	03	9900	15
STIGA	Carbonado 145	139900	214
STIGA	Carbonado 190	129900	199
STIGA	Carbonado   45	129900	199
STIGA	Emerald VPS	119900	183
STIGA	Carbonado   90	119900	183
STIGA	Rosewood NCT VII	92900	142
STIGA	Ebenholz NCT VII	92900	142
STIGA	Maplewood NCT VII	92900	142
STIGA	Rosewood NCT V	89900	138
STIGA	CC7	89900	138
STIGA	Maplewood NCT V	86900	133
STIGA	Ebenholz NCT V	84900	130
STIGA	CC5	79900	122
STIGA	Intensity NCT	74900	115
STIGA	Hybrid Wood NCT	72900	112
STIGA	Carbo 7.6 WRB	49900	76
STIGA	Infinity VPS	49900	76
STIGA	Clipper CR	42900	66
STIGA	Defensive Wood NCT	42900	66
STIGA	Optimum Sync	39900	61
STIGA	Offensive CR	35900	55
STIGA	Tube Offensive	35900	55
STIGA	Hypertech CR 35/45	33900	52
Joola	JOOLA Nobilis PBO-c (Incluye estuche)	149900	229
Joola	Joola ZeLeBRO PBO-c (Incluye estuche)	129900	199
Joola	AIR Carbon	116900	179
Joola	TPE FIGHT 	99900	153
Joola	Green line Extrem 	91900	141
Joola	Chen wei-xing	89900	138
Joola	Chen defender	89900	138
Joola	WING Carbon	89900	138
Joola	AIR Fibre	89900	138
Joola	Aruna OFF+	69900	107
Joola	TPE PERFORM	69900	107
Joola	Bomb extrem	66900	102
Joola	Rosskopf Force	66900	102
Joola	Aruna OFF	59900	92
Joola	K7	56900	87
Joola	Rosskopf emotion	52900	81
Joola	Rosskopf emotion	52900	81
Joola	Wing medium	49900	76
Joola	Flame Extreme	49900	76
Joola	COLT OFF Speed	49900	76
Joola	TPE Nature	49900	76
Joola	SPIRIT OFF+	49900	76
Joola	Flame fast	46900	72
Joola	Spirit  OFF	46900	72
Joola	K6 	42900	66
Joola	SPIRIT ALL +	39900	61
Joola	K5	37900	58
Joola	Viva	33900	52
Joola	Rosskopf fire	32900	50
Joola	 Toni Hold White Sport	29900	46
Joola	Eagle Fast 	26900	41
Joola	Rosskopf allround	24900	38
DHS	HURRICAN LONG V	149900	229
DHS	Hurricane NEO 655	114900	176
DHS	TG825-Neo	89900	138
DHS	HAO NEO 656	61900	95
DHS	Dipper carbon C01	44900	69
DHS	Hurricane H-WL	39900	61
DHS	Hurricane H-WH	36900	56
DHS	Dipper G100	29900	46
DHS	Dipper D13	29900	46
