Producto	Marca	Modelo	pesos_cl	usd
Maderas	YASAKA	Hasha Gold	99900	152.9
Maderas	YASAKA	Musashi Gold	86900	133.0
Maderas	YASAKA	Yagyu Gold	72900	111.6
Maderas	YASAKA	Galaxya Carbon	69900	107.0
Maderas	YASAKA	Malin hard Carbon	54900	84.0
Maderas	YASAKA	Silver carbon	52900	81.0
Maderas	YASAKA	Hasha Silver 	52900	81.0
Maderas	YASAKA	Yagyu Silver	49900	76.4
Maderas	YASAKA	X1	49900	76.4
Maderas	YASAKA	Double Face JP	46900	71.8
Maderas	YASAKA	Double Face TO	46900	71.8
Maderas	YASAKA	Malin Extra Offensivo	46900	71.8
Maderas	YASAKA	Malin Carbon	46900	71.8
Maderas	YASAKA	Malin Soft Carbon	46900	71.8
Maderas	YASAKA	Max Wood	44900	68.7
Maderas	YASAKA	Mushashi Silver 	42900	65.6
Maderas	YASAKA	Battle Balsa	42900	65.6
Maderas	YASAKA	Sweden Def	39900	61.1
Maderas	YASAKA	Earlast Carbon	37900	58.0
Maderas	YASAKA	Sweden Classic	36900	56.5
Maderas	XUSHAOFA	Carbon 2008-5	56900	87.1
Maderas	XUSHAOFA	Carbon 2008-2	53900	82.5
Maderas	XUSHAOFA	Carbon 2008-1	53900	82.5
Maderas	XUSHAOFA	Carbon 2008-8	53900	82.5
Maderas	XUSHAOFA	Carbon 2008-4	53900	82.5
Maderas	XUSHAOFA	Carbon 2008-3	53900	82.5
Maderas	XUSHAOFA	Wooden F-2	22000	33.7
Maderas	XUSHAOFA	Wooden F-1	22000	33.7
Maderas	XUSHAOFA	Wooden F-4	20000	30.6
Maderas	XUSHAOFA	Wooden F-6	16900	25.9
Maderas	XUSHAOFA	Wooden F-9	14900	22.8
Maderas	XUSHAOFA	012	12900	19.7
Maderas	XUSHAOFA	03	9900	15.1
Maderas	STIGA	Carbonado 145	139900	214.1
Maderas	STIGA	Carbonado 190	129900	198.8
Maderas	STIGA	Carbonado   45	129900	198.8
Maderas	STIGA	Emerald VPS	119900	183.5
Maderas	STIGA	Carbonado   90	119900	183.5
Maderas	STIGA	Rosewood NCT VII	92900	142.2
Maderas	STIGA	Ebenholz NCT VII	92900	142.2
Maderas	STIGA	Maplewood NCT VII	92900	142.2
Maderas	STIGA	Rosewood NCT V	89900	137.6
Maderas	STIGA	CC7	89900	137.6
Maderas	STIGA	Maplewood NCT V	86900	133.0
Maderas	STIGA	Ebenholz NCT V	84900	129.9
Maderas	STIGA	CC5	79900	122.3
Maderas	STIGA	Intensity NCT	74900	114.6
Maderas	STIGA	Hybrid Wood NCT	72900	111.6
Maderas	STIGA	Carbo 7.6 WRB	49900	76.4
Maderas	STIGA	Infinity VPS	49900	76.4
Maderas	STIGA	Clipper CR	42900	65.6
Maderas	STIGA	Defensive Wood NCT	42900	65.6
Maderas	STIGA	Optimum Sync	39900	61.1
Maderas	STIGA	Offensive CR	35900	54.9
Maderas	STIGA	Tube Offensive	35900	54.9
Maderas	STIGA	Hypertech CR 35/45	33900	51.9
Maderas	Joola	JOOLA Nobilis PBO-c (Incluye estuche)	149900	229.4
Maderas	Joola	Joola ZeLeBRO PBO-c (Incluye estuche)	129900	198.8
Maderas	Joola	AIR Carbon	116900	178.9
Maderas	Joola	TPE FIGHT 	99900	152.9
Maderas	Joola	Green line Extrem 	91900	140.6
Maderas	Joola	Chen wei-xing	89900	137.6
Maderas	Joola	Chen defender	89900	137.6
Maderas	Joola	WING Carbon	89900	137.6
Maderas	Joola	AIR Fibre	89900	137.6
Maderas	Joola	Aruna OFF+	69900	107.0
Maderas	Joola	TPE PERFORM	69900	107.0
Maderas	Joola	Bomb extrem	66900	102.4
Maderas	Joola	Rosskopf Force	66900	102.4
Maderas	Joola	Aruna OFF	59900	91.7
Maderas	Joola	K7	56900	87.1
Maderas	Joola	Rosskopf emotion	52900	81.0
Maderas	Joola	Rosskopf emotion	52900	81.0
Maderas	Joola	Wing medium	49900	76.4
Maderas	Joola	Flame Extreme	49900	76.4
Maderas	Joola	COLT OFF Speed	49900	76.4
Maderas	Joola	TPE Nature	49900	76.4
Maderas	Joola	SPIRIT OFF+	49900	76.4
Maderas	Joola	Flame fast	46900	71.8
Maderas	Joola	Spirit  OFF	46900	71.8
Maderas	Joola	K6 	42900	65.6
Maderas	Joola	SPIRIT ALL +	39900	61.1
Maderas	Joola	K5	37900	58.0
Maderas	Joola	Viva	33900	51.9
Maderas	Joola	Rosskopf fire	32900	50.3
Maderas	Joola	 Toni Hold White Sport	29900	45.8
Maderas	Joola	Eagle Fast 	26900	41.2
Maderas	Joola	Rosskopf allround	24900	38.1
Maderas	DHS	HURRICAN LONG V	149900	229.4
Maderas	DHS	Hurricane NEO 655	114900	175.8
Maderas	DHS	TG825-Neo	89900	137.6
Maderas	DHS	HAO NEO 656	61900	94.7
Maderas	DHS	Dipper carbon C01	44900	68.7
Maderas	DHS	Hurricane H-WL	39900	61.1
Maderas	DHS	Hurricane H-WH	36900	56.5
Maderas	DHS	Dipper G100	29900	45.8
Maderas	DHS	Dipper D13	29900	45.8
Gomas	XUSHAOFA	China 999	4900	7.5
Gomas	XUSHAOFA	ZCD GP	8900	13.6
Gomas	XUSHAOFA	ZCD	6900	10.6
Gomas	XUSHAOFA	LSZ II GP	11900	18.2
Gomas	XUSHAOFA	LSZ	7900	12.1
Gomas	XUSHAOFA	LSZ-NEO medium Soft	15900	24.3
Gomas	XUSHAOFA	LSZ Neo	15900	24.3
Gomas	XUSHAOFA	LSZ Esponja Japon	12900	19.7
Gomas	STIGA	Airoc S	29900	45.8
Gomas	STIGA	Innova Ultra Light	19900	30.5
Gomas	STIGA	Innova	19900	30.5
Gomas	STIGA	Royal	29900	45.8
Gomas	STIGA	Magna TC II	34900	53.4
Gomas	STIGA	Clippa	16900	25.9
Gomas	STIGA	Boost TX	32900	50.3
Gomas	STIGA	Boost TS	32900	50.3
Gomas	STIGA	Boost TC	29900	45.8
Gomas	STIGA	Boost TP	26900	41.2
Gomas	STIGA	AIROC ASTRO M	36900	56.5
Gomas	STIGA	Airoc M	29900	45.8
Gomas	STIGA	AIROC ASTRO S	36900	56.5
Gomas	STIGA	Radical	17900	27.4
Gomas	STIGA	Mantra S	36900	56.5
Gomas	STIGA	Mantra M	36900	56.5
Gomas	STIGA	Mantra H	36900	56.5
Gomas	STIGA	Calibra Tour S	28900	44.2
Gomas	STIGA	Calibra Tour M	28900	44.2
Gomas	STIGA	Calibra LT	34900	53.4
Gomas	STIGA	Calibra LT Plus	32900	50.3
Gomas	STIGA	Calibra LT Spin	32900	50.3
Gomas	STIGA	Calibra LT Sound	34900	53.4
Gomas	STIGA	Magna TX 	32900	50.3
