pos	year	rubber
1	2021	Nittaku Fastarc G-1
2	2021	Tibhar Evolution MX-P
3	2021	Nittaku Fastarc C-1
4	2021	Tibhar Evolution MX-D
5	2021	Yasaka Rakza 7
6	2021	Nittaku Moristo SP
7	2021	Xiom Vega Pro
8	2021	DHS Hurricane 3 Neo
9	2021	Xiom Vega Europe
10	2021	Nittaku Moristo SP AX
10	2020	Tibhar Grass D.TecS
9	2020	Donic Baracuda
8	2020	Xiom Vega Pro
7	2020	Nittaku Moristo SP
6	2020	Tibhar Evolution MX-P 50
5	2020	Yasaka Rakza 7 Soft
4	2020	DHS Hurricane 3 Neo
3	2020	Yasaka Rakza 7
2	2020	Tibhar Evolution MX-P
1	2020	Nittaku Fastarc G-1
