radio	show	cuts	plays
am750	la-manana-con-victor-hugo	4668	766991
city	black-and-toc	2292	549675
delplata	la-manana-con-monica-y-cesar	2252	501107
metro951	metro-perros-de-la-calle	2937	375670
lared	majul-910	624	364544
am750	detras-de-lo-que-vemos_2	2289	321555
lared	marca-de-radio	1215	316885
delplata	el-mediodia-de-del-plata	1785	270767
city	la-inmensa-minoria	1213	268719
delplata	manana-sylvestre	1933	258885
metro951	metro-y-medio	879	253337
city	y-ahora-quien-podra-ayudarno	1212	234970
metro951	metro-no-somos-nadie	887	196045
city	tarde-para-nada	709	177768
lared	empezando-el-dia	798	176338
lared	viale-910	762	157537
rebelde740	siete-punto-cero_1	832	154483
delplata	secreto-de-sumario	1117	138827
delplata	la-vuelta-de-zloto	1031	136391
city	el-lobby	485	117788
am750	te-quiero-a-las-10	1035	111241
r1010uy	las-voces-del-futbol	88	108084
futurock	furia-bebe	924	106040
metro951	basta-de-todo	783	104238
am750	el-puente	360	98960
lared	fantino-910	734	95725
la-brujula-24-fm	bahia-hoy	755	94953
blue	gente-sexy	1361	85094
rnacordoba	solo-por-hoy	57	81515
patriada	total-normalidad	117	80867
am750	un-poco-nomas_1	479	78098
am750	una-nueva-aventura	887	72132
vorterix	guetap	177	71031
nacional870	va-de-vuelta	278	69415
blue	ultimos-cartuchos	356	64612
rebelde740	rompiendo-moldes	327	60956
caput	siberia-en-caput	431	60033
sarandiuy	las-cosas-en-su-sitio	64	59333
delplata	el-duende	660	59093
patriada	big-bang_1	171	55090
fmlatina	el-exprimidor	202	54198
de-la-montana	la-kermesse-de-los-sabados	295	53358
late	libermann-en-linea	722	50439
nacional870	pone-primera	324	49081
radio9	duggan-bien-temprano	410	47853
del-sol	la-mesa-de-los-galanes	166	47628
delplata	fox-spots-en-am-del-plata	371	46749
sport_uy	100-deporte_2	68	44343
uno	pazos-en-el-aire	563	43772
futurock	a-los-botes	755	43672
pulxo	con-todo-al-aire-sergio-zu	166	42358
nef	la-manana-con-victor-hugo_1	408	41122
grafica	la-senal	392	41069
am750	voces-del-mundo	952	40754
am750	QUE-VUELVAN-LAS-IDEAS	797	40326
am750	la-venganza-sera-terrible_2	303	40111
sport_uy	ultimo-al-arco	56	39341
cooperativa	ida-y-vuelta_2	256	38870
exitos	cesar-miguel-rondon	172	38481
rivadavia	fox-sports-radio_1	139	37748
futurock	segurola-y-habana_1	451	37344
grafica	abramos-la-boca	496	36714
nuestra-radio	nada-del-otro-mundo_1	342	36215
am750	parte-del-aire	367	36188
continental	magdalena-tempranisimo	382	35941
universidad-cordoba	otra-vuelta-de-tuerca-am-5	568	35800
ciudad	radio-barcelona	92	35723
la-romantica	contigo	48	34840
azuluy	malos-pensamientos	53	33968
la-brujula-24-fm	tal-cual-es-con-martin-noir	669	32205
rivadavia	digo-lo-que-pienso-con-rosa	759	30224
lared	la-hora-de-bilardo	50	29636
concepto	sin-saco-y-sin-corbata	493	29352
elmundo	mananas-argentinas	565	28914
blue	ahora-es-cuando_2	677	28402
am750	arqueros-ilusionistas-y-gol	339	28398
rivadavia	negro630	1444	28291
rebelde740	no-nos-queda-otra	546	28040
lt3rosario	ultima-jugada	94	26358
radio-cantilo	mentira-0	482	26030
city	toma-y-daca_2	138	25965
ciudad	agarrate-catalina	36	25793
grafica	punto-de-partida	590	25714
casilda	el-equipo-de-la-manana	1132	25510
patriada	la-canalla	687	25475
megafon-unla	feria-franca	940	25101
delplata	radiocampo-del-plata	508	24802
pulxo	encendidos-joel-rossi	91	24396
cooperativa	ESQUINA-LIBERTAD	856	24149
elmundo	alguien-tiene-que-decirlo-e	423	23932
nacional870	la-vida-en-particular	371	23739
delplata	caballero-nocturno	244	23342
late	a-la-radio-con-moria	49	22932
continental	dicen-que-dicen_1	191	22902
lared	un-buen-momento	251	22359
vorterix	mala-mia	218	22275
espectadoruy	tuya-y-mia	47	22252
patriada	levantando-el-avispero	302	21572
metro951	atencion-por-favor	241	20841
lu14-provincia-de-santa-cruz	somos-viento-edicion-de-vera	1444	20356
caput	sobremesa-juridica	70	19973
delplata	dicen-que-dicen	377	19805
elmundo	toma-y-daca_3	102	19667
espectadoruy	el-resumen-del-dia	9	19582
sarandiuy	informativo-sarandi	37	19481
unlpfm	hijos-de-30000	158	18966
rivadavia	el-rifle-y-la-gente	919	18883
conexion-abierta	demoliendo-mitos	99	18753
cultura	informe-economico_1	98	18720
radiofonica	todo-pasa_2	319	18705
uno	show-attack	731	18311
rockandpop	todos-mienten	319	18142
vorterix	acido	1011	18123
continental	bravo-continental	435	17677
concepto	del-arco-politico_1	784	17623
am1010-onda-latina	identidad-colectiva	655	17554
radio-libre	somoslibre	404	17553
oceanouy	segunda-pelota	38	17189
milenium	vuelo-de-regreso	156	17149
orfeo	comprendes-mendez_1	144	16682
caput	la-garcia-radio	252	16356
nef	que-vuelvan-las-ideas	158	15973
patriada	la-nave-invisible	274	15932
delplata	la-medianoche-en-del-plata	370	15875
cultura	contrapunto_5	788	15591
alas-sf	la-manana-de-fm-alas	72	15538
nef	que-pretende-usted-de-mi_2	625	15532
rivadavia	la-oral-deportiva_2	500	15503
ahijuna	nunca-detendran-la-primavera	54	15025
cooperativa	pagina-abierta_1	589	14952
rockandpop	esta-saliendo-el-sol	36	14364
si989	nadie-es-perfecto_1	533	14297
vorterix	delicias-de-un-charlatan	164	14276
milenium	pablo-y-a-la-bolsa	370	14191
el-mediador	el-mediador	965	13775
megafon-unla	desde-el-sur	740	13720
oceanouy	justicia-infinita	85	13706
r1010uy	a-fondo_1	40	13622
caput	aburridos-peligrosos_1	214	13228
rebelde740	con-algunas-cosas-claras	317	13202
continental	maxi-continental	221	13091
am750	la-ultima-pagina	347	13013
continental	maria-odonnell-continental	63	12981
rebelde740	volver-a-las-17	263	12868
union-radio	sin-duda	10	12721
la-imposible	manana-imposible	338	12496
rivadavia	nuevos-aires	252	12328
oceanouy	no-toquen-nada_2	10	12288
delplata	el-diario-de-domingo	245	12059
futurock	demasiado-humano_3	106	12054
lared	animales-politicos	81	11959
uno	fannytizados-con-fanny-man	108	11924
lt9-sf	la-pulpo_1	453	11733
lt8rosario	procopio830	291	11477
zonica	el-arranque	381	11275
am750	el-sueno-de-los-heroes	196	11270
splendid	la-era-de-los-mauricios	234	11268
nacional870	plato-fuerte	203	11255
patriada	negras-calabazas	148	11126
radio-fish	club-3-de-febrero	118	11120
caput	encuentros-para-coleccionar	69	11083
patriada	cita-directa	82	11068
concepto	cuento-chino	88	10808
gen	black-and-toc_1	8	10776
fm-la-uni-917	para-manana-es-tarde	803	10659
delplata	chequeo-general_1	210	10533
la-imposible	basta-de-verso	20	10499
ciudad	la-boca-del-lobo	161	10485
la-brujula-24-fm	deberias-saberlo_1	317	10470
rebelde740	la-voz-y-la-opinion	82	10233
trendtopic	interior-futbolero_1	398	10142
los40principales	guatsap	332	10128
nef	parte-del-aire-con-daniel	83	9989
rivadavia	vuelta-y-vuelta	599	9816
elmundo	la-manana-del-mundo	264	9578
caput	dos-por-uno	71	9564
nacional870	con-todo-el-pais	534	9456
frecuenciazero	codigo-de-barras_1	999	9384
guemesam	interior-futbolero	447	9290
caput	el-sueno-de-lxs-justxs	165	9288
la-cien-punto-uno	nos-sobran-los-motivos	224	9266
frecuencia-patagonia	hora-de-brujas	47	9256
rockandpop	no-vuelvas	61	9165
delplata	clasicos-de-coleccion	194	9081
megafon-unla	otra-vuelta_3	220	9027
rebelde740	para-el-pueblo-lo-que-es-del	56	9023
unica	sensaciones	571	8890
si989	ya-fue_1	542	8874
radio-cantilo	lo-artesanal_1	236	8780
cooperativa	EL-TREN	282	8756
radio-fish	preterito-perfecto_1	34	8755
ciudadana	victor-hugo-morales-repetic	4	8707
fm-secla-1047	en-la-mira-radio	423	8560
r1010uy	tirando-paredes	155	8288
sport_uy	y-usted-que-opina-mi-amigo	43	8249
superroca	contrapunto_6	233	8187
fmlatina	el-exprimidor_1	118	8184
nuestra-radio	subversiones	153	8070
del-sol	cambio-y-fuera	10	8057
nef	un-poco-nomas_2	89	7950
radio-fish	lta	150	7927
galena	algo-diran	700	7846
uno	como-te-va-benedetto	391	7783
nef	que-sea-rock	492	7738
cultura	estado-joven	190	7728
latecno	nube-sonora	159	7724
azuluy	radiomental	8	7723
activa	trasnoche-pop_2	31	7679
grafica	desde-el-barrio	297	7599
futurock	total-interferencia	111	7577
late	jogo-bonito_1	174	7495
deportiva	conexion-goleadora	267	7486
lared	de-una-otro-buen-momento	255	7475
casilda	la-mejor-porcion-del-dia	29	7367
lu14-provincia-de-santa-cruz	si-me-permite_1	516	7249
nacional870	la-coca-es-pal-fernet	28	7221
ciudad	no-se-puede-vivir-del-amor	88	7152
rebelde740	adn-nacional-y-popular	38	7112
fm-la-uni-917	te-digo-y-te-repito	481	7002
lt9-sf	sobre-ruedas	128	6991
cooperativa	esto-es-racing_1	106	6955
megafon-unla	pelota-al-medio	513	6902
unlpam	contacto-universitario	376	6898
uno	uno-en-el-amor	48	6853
rivadavia	el-superclasico_1	231	6731
classique	100-anos-de-perdon	246	6695
en-transito	imaginacion-es-poder	208	6681
gen	bigdata	153	6660
superroca	ahi-vamos_2	187	6637
cooperativa	LOS-NOTABLES	50	6627
unr	la-marca-de-la-almohada	219	6625
si989	hoja-de-ruta_1	153	6552
radio9	es-tarde-para-duggan	60	6489
antenalibre	entre-bardas_1	68	6437
rockandpop	parece-que-no-pero-si	247	6410
casilda	entre-nosotros	455	6385
federal	la-tiza-rebelde	315	6373
late	puro-futbol_1	236	6364
latecno	entre-lineas_1	205	6361
zonica	ciudad-sin-limite	66	6355
futurock	el-hecho-maldito	79	6347
am750	vayan-a-laburar_1	170	6345
uno	ruta-uno_1	46	6317
megafon-unla	escalando-la-tarde	407	6315
