radio	cuts	plays
am750	13893	1688280
delplata	12381	1574051
city	6378	1382748
metro951	6138	961367
lared	5735	1202388
rivadavia	5705	177496
uno	3889	128698
nef	3887	136634
cultura	3858	100348
nacional870	3594	207423
rebelde740	3523	329057
cooperativa	3248	132934
patriada	3152	249264
megafon-unla	3045	65345
lu14-provincia-de-santa-cruz	2916	50718
zonica	2856	58122
grafica	2797	143281
concepto	2723	82495
continental	2659	137355
blue	2604	181887
caput	2601	183077
la-brujula-24-fm	2548	167434
futurock	2482	219005
elmundo	2357	104645
vorterix	2254	150310
late	2188	107900
splendid	2035	39043
unlpam	1892	25610
nacional-uruguay	1872	15573
palermo947	1794	31488
latribu	1783	40077
casilda	1748	44102
si989	1680	39037
milenium	1536	58549
fm-la-uni-917	1527	21460
ciudad	1511	113893
radio9	1227	75305
rockandpop	1209	67782
lt8rosario	1198	27036
frecuenciazero	1178	13087
delta	1147	17789
am1010-onda-latina	1108	31378
guemesam	1104	19306
larz	1068	21675
universidad-cordoba	1042	49247
radio-cantilo	1040	42828
latecno	1014	24516
el-mediador	965	13775
unr	926	24441
led	889	16810
la-2x4	880	12862
nuestra-radio	879	54559
la-imposible	821	42539
lt9-sf	819	24267
nacrock	808	16434
gen	778	32647
superroca	770	24025
radiosur	710	13179
galena	700	7846
los40principales	677	17752
ampm	628	7624
citrica	625	11006
nacfolk	624	10581
fmlatina	620	70317
unica	614	9490
frecuencia-patagonia	596	27884
trendtopic	582	16643
radio-libre	574	21133
en-transito	563	12321
fm-secla-1047	561	11121
advanta	532	2120
la-romantica	523	38733
ahijuna	518	26722
unlpfm	506	23117
cielo	502	10150
la-cien-punto-uno	502	14076
rlv-la-voz	496	11350
del-mar	487	5563
fm-raices-rock	474	8388
radio-fish	466	32166
federal	440	9064
deportiva	431	11149
exitos	419	43583
si	418	6930
sport_uy	413	100887
unaj	400	6768
fm-kaos	395	6074
r1010uy	391	136181
wu	383	7430
publica	377	5772
fm-chalet-radio-comunitaria	374	8447
disney	372	3122
pulxo	372	71096
asamblea	362	6921
labici	361	5393
radiofonica	350	19205
noticias	343	7938
de-la-montana	336	58672
classique	332	7892
colonia	326	4515
la-mega	323	5454
iser	316	4242
fribuay	314	7085
del-sol	313	62053
larednqn	299	4213
puntocero	291	7386
en-casa	268	6244
wen	264	7093
cristal_ros	251	7756
radio-kla	249	3808
sport-casilda	241	7402
utnmendoza	239	4078
argentina	238	7712
riachuelo	234	3800
oceanouy	234	58975
radio-plus-lp	232	3898
estacionsur	231	4214
