radio	mes	reproducciones
AM 750	1	68095
AM 750	2	57148
AM 750	3	118188
AM 750	4	140353
AM 750	5	91403
AM 750	6	146909
AM 750	7	103225
AM 750	8	239707
AM 750	9	202969
AM 750	10	123608
AM 750	11	124875
AM 750	12	86662
Con Vos	1	18045
Con Vos	2	108984
Con Vos	3	101399
Con Vos	4	104725
Con Vos	5	83329
Con Vos	6	115364
Con Vos	7	91476
Con Vos	8	119065
Con Vos	9	81385
Con Vos	10	178457
Con Vos	11	154132
Con Vos	12	128688
Del Plata	1	110342
Del Plata	2	121591
Del Plata	3	116421
Del Plata	4	98817
Del Plata	5	181364
Del Plata	6	99297
Del Plata	7	82977
Del Plata	8	94609
Del Plata	9	99460
Del Plata	10	76270
Del Plata	11	103364
Del Plata	12	73828
La Red	1	279992
La Red	2	64629
La Red	3	82178
La Red	4	106174
La Red	5	91367
La Red	6	32894
La Red	7	61194
La Red	8	94021
La Red	9	69607
La Red	10	46459
La Red	11	106807
La Red	12	49042
Metro 95.1	1	64998
Metro 95.1	2	106845
Metro 95.1	3	34068
Metro 95.1	4	48831
Metro 95.1	5	47065
Metro 95.1	6	34572
Metro 95.1	7	75935
Metro 95.1	8	232298
Metro 95.1	9	49687
Metro 95.1	10	43419
Metro 95.1	11	54849
Metro 95.1	12	39364
