source	target	value
CPF I de Ezeiza	Unidad 6 - Instituto de Seguridad y Resocialización	1826
CPFII de Marcos Paz	Unidad 6 - Instituto de Seguridad y Resocialización	1530
CPF I de Ezeiza	Unidad 12 - Colonia Penal de Viedma	1502
CPCABA (Ex - Devoto)	Unidad 12 - Colonia Penal de Viedma	1304
CPF I de Ezeiza	Unidad 4 - Colonia Penal de Santa Rosa	1286
CPF I de Ezeiza	Unidad 7 - Prisión Regional del Norte	1274
CPF I de Ezeiza	CPCABA (Ex - Devoto)	1262
CPFII de Marcos Paz	Unidad 12 - Colonia Penal de Viedma	1110
CPCABA (Ex - Devoto)	Unidad 5 - Colonia Penal Subprefecto Miguel Rocha	1064
CPF I de Ezeiza	Unidad 5 - Colonia Penal Subprefecto Miguel Rocha	1064
CPFII de Marcos Paz	Unidad 9 - Prisión Regional del Sur	1022
CPFII de Marcos Paz	Unidad 7 - Prisión Regional del Norte	1020
CPFII de Marcos Paz	Unidad 5 - Colonia Penal Subprefecto Miguel Rocha	940
CPFII de Marcos Paz	Unidad 4 - Colonia Penal de Santa Rosa	912
CPCABA (Ex - Devoto)	Unidad 4 - Colonia Penal de Santa Rosa	760
CPF I de Ezeiza	Unidad 9 - Prisión Regional del Sur	758
CPCABA (Ex - Devoto)	CPF I de Ezeiza	746
CPCABA (Ex - Devoto)	Unidad 6 - Instituto de Seguridad y Resocialización	654
CPCABA (Ex - Devoto)	CPFII de Marcos Paz	622
