estacion	hora	total
9 de julio	1	0
9 de julio	2	0
9 de julio	3	0
9 de julio	4	0
9 de julio	5	664
9 de julio	6	4264
9 de julio	7	10838
9 de julio	8	22148
9 de julio	9	21511
9 de julio	10	22134
9 de julio	11	25282
9 de julio	12	29119
9 de julio	13	31802
9 de julio	14	30814
9 de julio	15	33652
9 de julio	16	35788
9 de julio	17	44704
9 de julio	18	45319
9 de julio	19	22919
9 de julio	20	11420
9 de julio	21	7732
9 de julio	22	3980
9 de julio	23	732
Acoyte	0	4
Acoyte	1	0
Acoyte	3	0
Acoyte	4	0
Acoyte	5	1899
Acoyte	6	12891
Acoyte	7	39209
Acoyte	8	60941
Acoyte	9	62805
Acoyte	10	45073
Acoyte	11	41274
Acoyte	12	41440
Acoyte	13	38825
Acoyte	14	35337
Acoyte	15	33251
Acoyte	16	34261
Acoyte	17	36957
Acoyte	18	34797
Acoyte	19	30474
Acoyte	20	28565
Acoyte	21	18035
Acoyte	22	8151
Acoyte	23	840
Agüero	0	3
Agüero	1	1
Agüero	2	1
Agüero	5	894
Agüero	6	6766
Agüero	7	27778
Agüero	8	40789
Agüero	9	41063
Agüero	10	30983
Agüero	11	28621
Agüero	12	29941
Agüero	13	29252
Agüero	14	29264
Agüero	15	28497
Agüero	16	30694
Agüero	17	31204
Agüero	18	28841
Agüero	19	25115
Agüero	20	22105
Agüero	21	12475
Agüero	22	5303
Agüero	23	996
Alberti	0	1
Alberti	5	308
Alberti	6	2019
Alberti	7	5064
Alberti	8	8437
Alberti	9	9042
Alberti	10	10608
Alberti	11	13065
Alberti	12	15143
Alberti	13	15724
Alberti	14	16006
Alberti	15	15571
Alberti	16	17060
Alberti	17	17450
Alberti	18	17933
Alberti	19	13915
Alberti	20	11251
Alberti	21	6684
Alberti	22	3263
Alberti	23	585
Angel Gallardo	5	1579
Angel Gallardo	6	11442
Angel Gallardo	7	41359
Angel Gallardo	8	65431
Angel Gallardo	9	63957
Angel Gallardo	10	48967
Angel Gallardo	11	42895
Angel Gallardo	12	42607
Angel Gallardo	13	40657
Angel Gallardo	14	38038
Angel Gallardo	15	36352
Angel Gallardo	16	38586
Angel Gallardo	17	39667
Angel Gallardo	18	39716
Angel Gallardo	19	32475
Angel Gallardo	20	26272
Angel Gallardo	21	16638
Angel Gallardo	22	7736
Angel Gallardo	23	1021
Avenida de Mayo	5	665
Avenida de Mayo	6	4390
Avenida de Mayo	7	8054
Avenida de Mayo	8	9417
Avenida de Mayo	9	10441
Avenida de Mayo	10	13153
Avenida de Mayo	11	15200
Avenida de Mayo	12	16741
Avenida de Mayo	13	17163
Avenida de Mayo	14	17771
Avenida de Mayo	15	21899
Avenida de Mayo	16	22025
Avenida de Mayo	17	26443
Avenida de Mayo	18	26154
Avenida de Mayo	19	15128
Avenida de Mayo	20	10772
Avenida de Mayo	21	7269
Avenida de Mayo	22	3178
Avenida de Mayo	23	468
Avenida La Plata	0	1
Avenida La Plata	1	0
Avenida La Plata	4	2
Avenida La Plata	5	697
Avenida La Plata	6	4511
Avenida La Plata	7	14723
Avenida La Plata	8	24745
Avenida La Plata	9	22160
Avenida La Plata	10	14390
Avenida La Plata	11	12689
Avenida La Plata	12	13249
Avenida La Plata	13	12482
Avenida La Plata	14	10773
Avenida La Plata	15	10405
Avenida La Plata	16	12060
Avenida La Plata	17	13215
Avenida La Plata	18	11505
Avenida La Plata	19	8423
Avenida La Plata	20	7128
Avenida La Plata	21	4775
Avenida La Plata	22	2594
Avenida La Plata	23	294
Boedo	0	1
Boedo	5	803
Boedo	6	3667
Boedo	7	10533
Boedo	8	17204
Boedo	9	17384
Boedo	10	13944
Boedo	11	13655
Boedo	12	13638
Boedo	13	12862
Boedo	14	11417
Boedo	15	10714
Boedo	16	11130
Boedo	17	11386
Boedo	18	10231
Boedo	19	8511
Boedo	20	8091
Boedo	21	5367
Boedo	22	2643
Boedo	23	353
Bolivar	0	0
Bolivar	1	0
Bolivar	2	0
Bolivar	3	0
Bolivar	5	804
Bolivar	6	4034
Bolivar	7	8407
Bolivar	8	11099
Bolivar	9	11258
Bolivar	10	15841
Bolivar	11	21496
Bolivar	12	26559
Bolivar	13	31001
Bolivar	14	33491
Bolivar	15	44458
Bolivar	16	55547
Bolivar	17	88884
Bolivar	18	91929
Bolivar	19	41137
Bolivar	20	25166
Bolivar	21	11419
Bolivar	22	4965
Bolivar	23	1012
Bulnes	0	1
Bulnes	1	0
Bulnes	4	0
Bulnes	5	986
Bulnes	6	8251
Bulnes	7	31356
Bulnes	8	55807
Bulnes	9	55015
Bulnes	10	42833
Bulnes	11	41130
Bulnes	12	44238
Bulnes	13	46246
Bulnes	14	47192
Bulnes	15	49230
Bulnes	16	52425
Bulnes	17	52162
Bulnes	18	48891
Bulnes	19	46905
Bulnes	20	43385
Bulnes	21	28411
Bulnes	22	17183
Bulnes	23	1466
Callao	0	0
Callao	1	0
Callao	2	0
Callao	5	637
Callao	6	4186
Callao	7	12928
Callao	8	26828
Callao	9	33212
Callao	10	31963
Callao	11	36943
Callao	12	41637
Callao	13	44575
Callao	14	46337
Callao	15	48393
Callao	16	51544
Callao	17	59311
Callao	18	56411
Callao	19	41826
Callao	20	32519
Callao	21	17197
Callao	22	6997
Callao	23	1243
Callao.B	5	1853
Callao.B	6	7573
Callao.B	7	18427
Callao.B	8	29936
Callao.B	9	34738
Callao.B	10	38231
Callao.B	11	43824
Callao.B	12	49499
Callao.B	13	53459
Callao.B	14	54603
Callao.B	15	58188
Callao.B	16	63070
Callao.B	17	65347
Callao.B	18	63550
Callao.B	19	48815
Callao.B	20	39637
Callao.B	21	25629
Callao.B	22	14257
Callao.B	23	2716
Carabobo	0	1
Carabobo	1	0
Carabobo	4	0
Carabobo	5	1797
Carabobo	6	11601
Carabobo	7	44977
Carabobo	8	72904
Carabobo	9	55087
Carabobo	10	36169
Carabobo	11	31161
Carabobo	12	29252
Carabobo	13	28429
Carabobo	14	26001
Carabobo	15	24152
Carabobo	16	25233
Carabobo	17	27216
Carabobo	18	25200
Carabobo	19	18198
Carabobo	20	15685
Carabobo	21	9525
Carabobo	22	3795
Carabobo	23	306
Carlos Gardel	0	0
Carlos Gardel	3	0
Carlos Gardel	5	974
Carlos Gardel	6	6755
Carlos Gardel	7	17397
Carlos Gardel	8	28109
Carlos Gardel	9	29249
Carlos Gardel	10	29052
Carlos Gardel	11	33532
Carlos Gardel	12	39426
Carlos Gardel	13	44420
Carlos Gardel	14	46495
Carlos Gardel	15	51509
Carlos Gardel	16	60371
Carlos Gardel	17	64168
Carlos Gardel	18	63795
Carlos Gardel	19	57146
Carlos Gardel	20	51659
Carlos Gardel	21	44713
Carlos Gardel	22	36674
Carlos Gardel	23	3784
Carlos Pellegrini	0	6
Carlos Pellegrini	4	1
Carlos Pellegrini	5	2432
Carlos Pellegrini	6	13376
Carlos Pellegrini	7	30284
Carlos Pellegrini	8	34639
Carlos Pellegrini	9	34186
Carlos Pellegrini	10	38857
Carlos Pellegrini	11	49112
Carlos Pellegrini	12	58287
Carlos Pellegrini	13	68208
Carlos Pellegrini	14	67766
Carlos Pellegrini	15	78558
Carlos Pellegrini	16	83604
Carlos Pellegrini	17	100373
Carlos Pellegrini	18	114897
Carlos Pellegrini	19	69239
Carlos Pellegrini	20	55287
Carlos Pellegrini	21	40661
Carlos Pellegrini	22	24969
Carlos Pellegrini	23	4873
Caseros	0	6
Caseros	2	3
Caseros	3	1
Caseros	4	1
Caseros	5	1376
Caseros	6	6941
Caseros	7	15435
Caseros	8	25321
Caseros	9	20750
Caseros	10	16201
Caseros	11	16752
Caseros	12	19960
Caseros	13	19510
Caseros	14	17864
Caseros	15	20115
Caseros	16	23418
Caseros	17	31201
Caseros	18	34775
Caseros	19	14879
Caseros	20	10016
Caseros	21	5458
Caseros	22	2802
Caseros	23	836
Castro Barros	0	2
Castro Barros	5	950
Castro Barros	6	7201
Castro Barros	7	20597
Castro Barros	8	29994
Castro Barros	9	32519
Castro Barros	10	27383
Castro Barros	11	25709
Castro Barros	12	26793
Castro Barros	13	25143
Castro Barros	14	24677
Castro Barros	15	23784
Castro Barros	16	26075
Castro Barros	17	27431
Castro Barros	18	27135
Castro Barros	19	20773
Castro Barros	20	16225
Castro Barros	21	10519
Castro Barros	22	4673
Castro Barros	23	456
Catedral	0	2
Catedral	1	0
Catedral	2	1
Catedral	3	0
Catedral	4	1
Catedral	5	1643
Catedral	6	9423
Catedral	7	21949
Catedral	8	29493
Catedral	9	30715
Catedral	10	40402
Catedral	11	54480
Catedral	12	69861
Catedral	13	80325
Catedral	14	86051
Catedral	15	110710
Catedral	16	137253
Catedral	17	242876
Catedral	18	244037
Catedral	19	107110
Catedral	20	56767
Catedral	21	27048
Catedral	22	8877
Catedral	23	1472
Congreso	0	4
Congreso	1	2
Congreso	4	0
Congreso	5	1234
Congreso	6	6579
Congreso	7	13637
Congreso	8	21383
Congreso	9	24720
Congreso	10	27713
Congreso	11	32433
Congreso	12	36321
Congreso	13	39841
Congreso	14	42335
Congreso	15	46254
Congreso	16	47602
Congreso	17	50678
Congreso	18	44439
Congreso	19	35987
Congreso	20	30946
Congreso	21	18393
Congreso	22	9785
Congreso	23	1778
Congreso de Tucuman	0	0
Congreso de Tucuman	1	0
Congreso de Tucuman	2	0
Congreso de Tucuman	3	0
Congreso de Tucuman	4	0
Congreso de Tucuman	5	5450
Congreso de Tucuman	6	41348
Congreso de Tucuman	7	133705
Congreso de Tucuman	8	203811
Congreso de Tucuman	9	158036
Congreso de Tucuman	10	102643
Congreso de Tucuman	11	82305
Congreso de Tucuman	12	78483
Congreso de Tucuman	13	79126
Congreso de Tucuman	14	69961
Congreso de Tucuman	15	69030
Congreso de Tucuman	16	75021
Congreso de Tucuman	17	98115
Congreso de Tucuman	18	109140
Congreso de Tucuman	19	66949
Congreso de Tucuman	20	49859
Congreso de Tucuman	21	31905
Congreso de Tucuman	22	13438
Congreso de Tucuman	23	406
Constitucion	0	2
Constitucion	2	2
