screen_name	date	fav	retweet	text
mauriciomacri	Thu Dec 06 00:41:41 +0000 2018	14829	4732	Orgullo. Después de más de diez años FAdeA volvió a construir aviones. Hoy presentamos los tres PAMPA III que se van a usar para proteger las fronteras y en la lucha contra el narcotráfico. https://t.co/dD5CWkTKEO
mauriciomacri	Wed Dec 05 21:54:09 +0000 2018	3080	636	Felicitaciones a la selección argentina de Powerchair, campeona sudamericana en Uruguay por tercera vez en cuatro ediciones! Y felicitaciones también a los Tigres de Pacheco, con quienes nos juntamos hace un tiempo en Olivos, por el segundo puesto. 👏🏻💪🏻
mauriciomacri	Wed Dec 05 18:57:52 +0000 2018	2976	866	En vivo desde Córdoba: el Presidente visita la Fábrica Argentina de Aviones y presenta los aviones PAMPA III https://t.co/CMwvQaA50Y
mauriciomacri	Wed Dec 05 00:38:21 +0000 2018	8425	2811	Productos argentinos en todo el mundo. https://t.co/ip6zjmqOi3
mauriciomacri	Tue Dec 04 21:45:54 +0000 2018	16679	4838	Excelente noticia que llega de Vaca Muerta. YPF y Petronas van a invertir más de 2.300 millones de dólares en los próximos 4 años. Es la segunda inversión directa más grande para el desarrollo del no convencional en el país. Más trabajo para los argentinos!
mauriciomacri	Tue Dec 04 18:30:06 +0000 2018	1338	380	En vivo: el Presidente presenta los resultados del programa Justicia 2020 https://t.co/AL3LwVIc0e
mauriciomacri	Tue Dec 04 00:15:52 +0000 2018	17823	2900	Estamos felices con el resultado del trabajo de estos días. Felicitaciones Argentina por este gran logro 💪🏻
mauriciomacri	Tue Dec 04 00:15:31 +0000 2018	3084	793	CULTURA Y EDUCACIÓN: También firmamos acuerdos importantes de cooperación cultural, educación, salud, comercio electrónico y protección del medio ambiente.
mauriciomacri	Tue Dec 04 00:15:16 +0000 2018	5671	1704	PESCA: Negociamos con Rusia habilitar más plantas pesqueras para exportarles. Más trabajo de los pescadores impulsará toda la industria: vamos a batir récords de construcción de barcos de pesca. Los astilleros argentinos toman impulso.
mauriciomacri	Tue Dec 04 00:14:53 +0000 2018	5240	1436	SUPERMERCADO DEL MUNDO: en bilaterales con Rusia, India, China y EEUU trabajamos para lleguen más alimentos argentinos. Firmamos acuerdos fitosanitarios para exportar carne ovina, caprina y caballos a pie a China y un protocolo para mandar cerezas por primera vez a ese país.
mauriciomacri	Tue Dec 04 00:14:19 +0000 2018	4478	1343	EXPORTACIONES: Eliminamos la doble imposición fiscal con algunos de los países de la cumbre. Los exportadores e inversores no tendrán que pagar más dos veces impuestos por las mismas operaciones. Será más ágil y es un impulso para nuevas inversiones y actividades comerciales.
mauriciomacri	Tue Dec 04 00:13:44 +0000 2018	3725	1035	TRENES: Siguen las obras en el San Martín Cargas, Belgrano Cargas y Roca Eléctrico. Mejor logística y comunicación interna significan más productos argentinos en los puertos y más trabajo.
mauriciomacri	Tue Dec 04 00:12:55 +0000 2018	8135	2268	US$4.000 MILLONES EN FINANCIAMIENTO EN LOS PRÓXIMOS MESES: Con los acuerdos con las principales economías del mundo financiaremos obras clave de energía térmica, solar y eólica, gasoductos, infraestructura vial y logística. Avanzan especialmente las plantas de energía renovable.
mauriciomacri	Tue Dec 04 00:12:20 +0000 2018	27464	5588	TERMINÓ EL G20 y fue un éxito. Estuvimos a la altura del desafío y superamos las expectativas. Además de la relevancia a nivel mundial que tuvo el país, durante estos días firmamos más de 60 convenios bilaterales importantes que van a beneficiarnos a todos.
mauriciomacri	Mon Dec 03 13:08:31 +0000 2018	1774	469	En vivo: conferencia de prensa https://t.co/btoAJXGK8K
mauriciomacri	Sun Dec 02 22:34:11 +0000 2018	8074	1613	Hoy recibimos la visita de Estado del presidente Xi Jinping. https://t.co/X21CSdgnVj
mauriciomacri	Sun Dec 02 17:53:38 +0000 2018	6600	894	Hoy recibimos al Presidente de China, Xi Jinping, en la Quinta de Olivos. https://t.co/1DnoxOBZ1a
mauriciomacri	Sun Dec 02 16:53:52 +0000 2018	3426	770	Felicitaciones a los organizadores y a los artistas del festival Global Citizen por un excelente espectáculo para homenajear el legado de una de las personas que más admiro, Nelson Mandela! Para verlo en vivo: <br>https://t.co/EebMQy6OLQ  @GlblCtzn
mauriciomacri	Sun Dec 02 15:08:53 +0000 2018	1633	382	En vivo: declaraciones a la prensa de los presidentes Xi Jinping y Mauricio Macri https://t.co/KQ9GB2onrQ
mauriciomacri	Sun Dec 02 14:49:06 +0000 2018	8690	1176	Con el presidente Xi Jinping en la quinta de Olivos. https://t.co/3n3GL2ixZq
mauriciomacri	Sun Dec 02 13:41:48 +0000 2018	2820	598	En vivo: el presidente Macri recibe al presidente de China, Xi Jinping, en Olivos https://t.co/G7uHLvBJWY
mauriciomacri	Sun Dec 02 01:48:28 +0000 2018	7249	1710	Hoy celebramos junto a la comitiva japonesa el 120º aniversario de nuestras relaciones diplomáticas. https://t.co/Z5VU7KEvgn
mauriciomacri	Sun Dec 02 00:57:57 +0000 2018	5436	819	Encuentro con el presidente Putin en Casa Rosada. https://t.co/gzkCnkhwZ8
mauriciomacri	Sun Dec 02 00:29:39 +0000 2018	1829	451	Declaraciones a la prensa de los presidentes Vladimir Putin y Mauricio Macri https://t.co/fK1CbHTL6u
mauriciomacri	Sat Dec 01 23:40:34 +0000 2018	23420	7267	Christine Lagarde, directora del Fondo Monetario Internacional. #G20Argentina https://t.co/hJrqqum0FS
mauriciomacri	Sat Dec 01 22:26:24 +0000 2018	5766	1620	Michel Temer, presidente de Brasil. #G20Argentina https://t.co/1H9qPbcsRk
mauriciomacri	Sat Dec 01 22:12:33 +0000 2018	1563	355	En vivo: encuentro con el presidente de la Federación de Rusia, Vladimir Putin https://t.co/GBSpoiTcmO
mauriciomacri	Sat Dec 01 22:08:35 +0000 2018	13302	3922	Sebastián Piñera, presidente de Chile. #G20Argentina https://t.co/1t2JTyhPbO
mauriciomacri	Sat Dec 01 22:00:36 +0000 2018	16261	4056	Emmanuel Macron, presidente de Francia. #G20Argentina https://t.co/HNSkzFDTz8
mauriciomacri	Sat Dec 01 21:37:40 +0000 2018	2919	666	Con el Primer Ministro Shinzo Abe celebramos el 120° aniversario del inicio de las relaciones diplomáticas entre Japón y Argentina. https://t.co/LTw7nIgGJF
mauriciomacri	Sat Dec 01 21:05:43 +0000 2018	4142	686	Recibimos a Christine Lagarde, directora del Fondo Monetario Internacional, en Casa Rosada. https://t.co/hs7ZsoPCEW
mauriciomacri	Sat Dec 01 20:16:46 +0000 2018	5385	833	Reunión con Angela Merkel, la canciller de Alemania. #G20Argentina https://t.co/Yj85zkHpvU
mauriciomacri	Sat Dec 01 19:45:43 +0000 2018	1958	419	En vivo: encuentro con el Primer Ministro de Japón, Shinzo Abe. https://t.co/5jFp3ZSKxL
mauriciomacri	Sat Dec 01 18:05:26 +0000 2018	12939	3423	Cierre de la cumbre del G20 en la Argentina. #G20Argentina https://t.co/Et1agyF9fQ
mauriciomacri	Sat Dec 01 17:49:50 +0000 2018	1462	367	En vivo: conferencia de prensa. #G20Argentina https://t.co/lnPo7WfZfn
mauriciomacri	Sat Dec 01 16:52:15 +0000 2018	2289	443	Nos reunimos con el presidente de Turquía, Recep Tayyip Erdoğan. #G20Argentina https://t.co/YBD9hxMP3X
